Product,Quantity,Sale Date,Customer,City,State,Unit Price,Total Value
buy,2,2023-06-14,David Henson,Lynchchester,MI,12.25,24.5
knowledge,5,2023-06-26,Joel Banks,Port Justin,PR,32.04,160.2
free,3,2023-12-12,Alexandra Rodriguez,East Darren,KY,76.28,228.84
region,9,2023-04-28,Jared Taylor,West Jody,CO,17.82,160.38
great,7,2023-01-20,Shawn Salinas,North Hannah,NJ,12.86,90.02
explain,2,2023-11-29,Michael Tran,East Joanport,NC,29.68,59.36
expect,9,2023-06-29,Sara Mendez,North Michaelmouth,NE,64.18,577.62
hand,9,2023-10-03,Daniel Baker,Tannerville,VA,27.9,251.1
hear,9,2023-03-08,Jonathan Fox,Coleside,SD,47.76,429.84
certain,8,2023-05-29,Karen Lee,West Michelle,OR,63.03,504.24
whether,1,2023-07-25,Brian Walker,West Aimee,WA,78.29,78.29
indicate,3,2023-03-16,Keith Wang,Courtneyshire,OH,72.83,218.49
future,6,2023-04-22,Jeffery Stanley,South John,IA,35.01,210.06
and,4,2023-01-04,Teresa Riley,South Karenshire,KS,96.15,384.6
often,6,2023-12-25,Travis Robinson,Arroyobury,CO,19.2,115.2
purpose,7,2023-09-29,Steve Hunt,Smithmouth,MD,18.7,130.9
officer,6,2023-05-16,Wesley Long,Colleenside,GA,64.34,386.04
mention,1,2023-11-28,Taylor Alvarez,East Jerryton,MT,75.68,75.68
young,9,2023-09-30,Andrew Wright,Goodtown,PA,21.23,191.07
feeling,7,2023-07-11,Larry Cohen,Lake Kathrynton,AR,17.09,119.63
itself,5,2023-10-16,Jamie Dixon,Annettebury,KS,84.65,423.25
decision,10,2023-02-05,David Holt,Jonstad,SC,89.69,896.9
guy,6,2023-08-17,Laura Hudson,Stevenville,AZ,61.96,371.76
young,2,2023-12-17,Shirley Farley,Smithport,GA,14.12,28.24
wide,4,2023-12-07,Lauren Cole,Ryanview,NY,79.58,318.32
work,2,2023-12-10,Jodi Ward,Sheltonview,IA,86.98,173.96
beat,2,2023-11-06,Candice Garcia,Pierceborough,MA,44.21,88.42
seem,8,2023-03-01,Christopher Cantrell,Griffinside,VA,67.21,537.68
direction,6,2023-05-31,Joshua Young,Patelview,VT,24.64,147.84
news,6,2023-09-22,Courtney Chang,New Josephland,MP,28.86,173.16
exactly,5,2023-06-22,Mitchell Lee MD,Candicechester,AS,73.16,365.8
seek,2,2023-03-09,Stefanie Long,Ayalashire,NY,64.82,129.64
form,3,2023-07-25,Amber Moss,New Deborahmouth,IA,58.07,174.21
size,4,2023-04-19,Pamela Sullivan,North Larry,UT,24.71,98.84
budget,7,2023-01-06,Randy Hill DDS,Port Morganmouth,WI,34.3,240.1
network,9,2023-07-22,Erica Wheeler,Lake Heather,ND,29.77,267.93
pressure,6,2023-03-29,Rebecca Parsons,Lake Chaseburgh,NV,85.86,515.16
teacher,1,2023-12-23,Michael Mays,Lake Michelle,KS,30.61,30.61
position,1,2023-11-13,Aaron Delgado,New Xavierborough,NM,82.45,82.45
attention,7,2023-12-10,Anthony Ramos,East Stephanie,PA,34.1,238.7
specific,4,2023-02-13,Craig Russell II,Christopherville,NY,92.18,368.72
body,10,2023-06-08,John Houston,West Chris,WA,88.87,888.7
agreement,6,2023-05-19,Kevin Shah,East Kimberly,CT,29.14,174.84
standard,8,2023-07-18,Penny Wilkinson,Port Jonstad,IA,45.61,364.88
list,8,2023-08-13,Thomas Torres,Dylanmouth,FL,22.86,182.88
personal,3,2023-01-19,Kathy Cooper,South Courtney,TN,32.2,96.6
take,9,2023-02-25,Taylor Brown,Jasonport,FL,58.51,526.59
material,10,2023-02-19,Linda Sanchez,Gibsonport,VA,48.56,485.6
else,10,2023-05-16,Lisa Harrington,North Amandatown,CA,45.95,459.5
attack,4,2023-02-09,Chad Saunders,Robinsontown,WI,99.76,399.04
source,3,2023-01-04,Christina Black,Taylorborough,OR,55.86,167.58
